epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.9401729106903076,0.44086265563964844,1e-04,0.9231398105621338,0.49873772263526917
1,0.9469501972198486,0.42960914969444275,1e-04,0.9198691844940186,0.49375250935554504
2,0.9467165470123291,0.41617947816848755,1e-04,0.9280458092689514,0.4808592200279236
3,0.9488198161125183,0.40409281849861145,1e-04,0.9337694048881531,0.4632008969783783
4,0.9483523964881897,0.3898169994354248,1e-04,0.9272281527519226,0.4469009041786194
5,0.9469501972198486,0.38473987579345703,1e-04,0.9321340918540955,0.43595778942108154
6,0.9527927041053772,0.3628746569156647,1e-04,0.9198691844940186,0.5020287036895752
7,0.9530264139175415,0.3568211495876312,1e-04,0.9288634657859802,0.41697999835014343
8,0.9509230852127075,0.35346969962120056,1e-04,0.9313164353370667,0.4313141405582428
9,0.9509230852127075,0.3417340815067291,1e-04,0.9386754035949707,0.39742252230644226
