epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.8423214554786682,0.7152851819992065,1e-04,0.8787500262260437,0.6676300168037415
1,0.8982142806053162,0.5879950523376465,1e-04,0.8793749809265137,0.638995349407196
2,0.9162499904632568,0.535249650478363,1e-04,0.8843749761581421,0.6127780675888062
3,0.9325000047683716,0.48744964599609375,1e-04,0.890625,0.5837673544883728
4,0.9466071724891663,0.4452412724494934,1e-04,0.893750011920929,0.6129367351531982
5,0.956428587436676,0.4126845896244049,1e-04,0.8893749713897705,0.608385443687439
6,0.9660714268684387,0.36922410130500793,1e-04,0.8774999976158142,0.7152621746063232
7,0.9830357432365417,0.319844514131546,1e-04,0.8806250095367432,0.665449321269989
8,0.9828571677207947,0.3114774525165558,1e-04,0.8762500286102295,0.7496066093444824
9,0.9898214340209961,0.2858653664588928,3e-05,0.8799999952316284,0.7355653643608093
10,0.9937499761581421,0.2703652083873749,3e-05,0.8774999976158142,0.7347278594970703
11,0.9966071248054504,0.26239949464797974,3e-05,0.8856250047683716,0.7588372826576233
12,0.9989285469055176,0.2530810236930847,3e-05,0.8812500238418579,0.7695304751396179
13,0.9975000023841858,0.25080621242523193,3e-05,0.8812500238418579,0.7990785837173462
14,0.9982143044471741,0.24637913703918457,8.999999e-06,0.8831250071525574,0.7979720830917358
