epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.7448856830596924,-0.7693763971328735,1e-04,0.8504273295402527,-0.7946035265922546
1,0.8904933929443359,-0.8696317672729492,1e-04,0.867521345615387,-0.8339393138885498
2,0.9085439443588257,-0.8884594440460205,1e-04,0.870192289352417,-0.8476988673210144
3,0.9121540188789368,-0.8907824158668518,1e-04,0.877136766910553,-0.8581684231758118
4,0.9193742275238037,-0.8944157361984253,1e-04,0.8814102411270142,-0.8613525629043579
5,0.9181708693504333,-0.8939632773399353,1e-04,0.8830128312110901,-0.8678991198539734
6,0.9205776453018188,-0.8994350433349609,1e-04,0.8915598392486572,-0.8737870454788208
7,0.9229843616485596,-0.9018468856811523,1e-04,0.8910256624221802,-0.8773713111877441
8,0.9241877198219299,-0.9035256505012512,1e-04,0.8856837749481201,-0.8742567896842957
9,0.9253910779953003,-0.9051576256752014,1e-04,0.9011752009391785,-0.8843443989753723
10,0.9326112866401672,-0.9081441760063171,1e-04,0.8958333134651184,-0.8802626132965088
11,0.9314079284667969,-0.9092052578926086,1e-04,0.8974359035491943,-0.8846579194068909
12,0.9350180625915527,-0.9115555882453918,1e-04,0.9001068472862244,-0.8861084580421448
13,0.9482551217079163,-0.9178106188774109,1e-04,0.9049145579338074,-0.8901753425598145
14,0.9386281371116638,-0.9138785600662231,1e-04,0.9054487347602844,-0.8893879055976868
15,0.9314079284667969,-0.9114823341369629,1e-04,0.9049145579338074,-0.8900971412658691
16,0.9470517635345459,-0.9186479449272156,1e-04,0.9027777910232544,-0.8914999961853027
17,0.9482551217079163,-0.9198623299598694,1e-04,0.9038461446762085,-0.8887342810630798
18,0.94344162940979,-0.9203588366508484,1e-04,0.9022436141967773,-0.8891667127609253
19,0.9422382712364197,-0.919004499912262,3e-05,0.8995726704597473,-0.8899703025817871
