epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.907806396484375,0.3175973892211914,1e-04,0.895369827747345,0.3443624675273895
1,0.9067040681838989,0.31177178025245667,1e-04,0.8893566131591797,0.348178893327713
2,0.907004714012146,0.30380916595458984,1e-04,0.8851473331451416,0.352662056684494
3,0.9101112484931946,0.29993197321891785,1e-04,0.8905592560768127,0.33288735151290894
4,0.9104118943214417,0.296613872051239,1e-04,0.8893566131591797,0.334689199924469
5,0.9091091156005859,0.2915688157081604,1e-04,0.8905592560768127,0.3318628668785095
6,0.910712480545044,0.2834959030151367,1e-04,0.8923631906509399,0.3296481966972351
7,0.9127166867256165,0.2783316969871521,1e-04,0.8905592560768127,0.32230815291404724
8,0.9129171371459961,0.27513018250465393,1e-04,0.8899579048156738,0.31633520126342773
9,0.9103116393089294,0.2767220437526703,1e-04,0.8893566131591797,0.31321391463279724
