epoch,loss,lr,metric_func,val_loss,val_metric_func
0,0.8393017053604126,1e-04,0.7861247062683105,0.9367259740829468,0.7841902375221252
1,0.7620602250099182,1e-04,0.8104885816574097,0.7598498463630676,0.8115031123161316
2,0.714106559753418,1e-04,0.8167062997817993,0.7150778770446777,0.8069795966148376
3,0.6725109815597534,1e-04,0.8177855014801025,0.6852706670761108,0.8175132274627686
4,0.6391761898994446,1e-04,0.8224239349365234,0.6489725708961487,0.8258709907531738
5,0.6042013764381409,1e-04,0.826800525188446,0.6260544061660767,0.8267545700073242
6,0.5789608359336853,1e-04,0.8272802829742432,0.6150332093238831,0.831099271774292
7,0.5497835874557495,1e-04,0.8319454193115234,0.5711122155189514,0.8367776870727539
8,0.5291779041290283,1e-04,0.8339835405349731,0.5448415279388428,0.8346133828163147
9,0.5135011672973633,1e-04,0.830470621585846,0.518610954284668,0.8340346217155457
