epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.852142870426178,0.6949348449707031,1e-04,0.8650000095367432,0.743361234664917
1,0.9060714244842529,0.5725378394126892,1e-04,0.878125011920929,0.6863007545471191
2,0.9212499856948853,0.518547534942627,1e-04,0.890625,0.6113118529319763
3,0.9360714554786682,0.4666687548160553,1e-04,0.8862500190734863,0.5960399508476257
4,0.9567857384681702,0.4046207070350647,1e-04,0.8918750286102295,0.5849533677101135
5,0.9671428799629211,0.36032921075820923,1e-04,0.887499988079071,0.6291652917861938
6,0.9862499833106995,0.2995084822177887,1e-04,0.8737499713897705,0.7489364147186279
7,0.987678587436676,0.2794099748134613,1e-04,0.8856250047683716,0.7301461696624756
8,0.9891071319580078,0.26493996381759644,1e-04,0.8843749761581421,0.7524760961532593
9,0.9910714030265808,0.2501036822795868,1e-04,0.8487499952316284,0.9354628920555115
