epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.8555967807769775,0.6905847787857056,1e-04,0.868911623954773,0.6614485383033752
1,0.901392936706543,0.5735527276992798,1e-04,0.8731208443641663,0.6211423873901367
2,0.9287503957748413,0.48479214310646057,1e-04,0.867107629776001,0.6238737106323242
3,0.962320864200592,0.3863113224506378,1e-04,0.868911623954773,0.6704395413398743
4,0.9852690696716309,0.3058725893497467,1e-04,0.817197859287262,0.9188584089279175
5,0.993887186050415,0.2608180344104767,1e-04,0.8610944151878357,0.7283544540405273
6,0.993887186050415,0.23649047315120697,1e-04,0.765484094619751,1.0788604021072388
7,0.9955907464027405,0.22131133079528809,3e-05,0.8707155585289001,0.6771087646484375
8,0.9994989633560181,0.20373597741127014,3e-05,0.8743234872817993,0.7194321155548096
9,0.9995991587638855,0.1959170252084732,3e-05,0.8713169097900391,0.719767153263092
