epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.6524869203567505,1.1193922758102417,1e-04,0.6601007580757141,1.0988353490829468
1,0.7096858620643616,1.0193837881088257,1e-04,0.7214841842651367,1.0112967491149902
2,0.7353402972221375,0.9724113345146179,1e-04,0.7049931287765503,0.9981544613838196
3,0.7537958025932312,0.9188609719276428,1e-04,0.7278974056243896,0.949720025062561
4,0.7553665041923523,0.8900765180587769,1e-04,0.7480531334877014,0.9085966944694519
5,0.7670156955718994,0.8630014657974243,1e-04,0.7508016228675842,0.8973396420478821
6,0.7794502377510071,0.8295977711677551,1e-04,0.7540082335472107,0.8558059334754944
7,0.7842931747436523,0.8000932335853577,1e-04,0.748969316482544,0.8572960495948792
8,0.782722532749176,0.7943205237388611,1e-04,0.772789716720581,0.803767740726471
9,0.7900523543357849,0.7645060420036316,1e-04,0.7714154720306396,0.8132146000862122
10,0.7931936979293823,0.7454189658164978,1e-04,0.7709574103355408,0.7911339402198792
11,0.7924084067344666,0.7327311038970947,1e-04,0.7645441889762878,0.7899466156959534
12,0.8001309037208557,0.7149642705917358,1e-04,0.7636280059814453,0.7717991471290588
13,0.8053665161132812,0.696047306060791,1e-04,0.7755382657051086,0.746970534324646
14,0.8078534007072449,0.6852259635925293,1e-04,0.74667888879776,0.8073825240135193
