epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.9662303924560547,0.09513265639543533,3e-05,0.9551076292991638,0.13479995727539062
1,0.9647905826568604,0.09500522911548615,3e-05,0.9551076292991638,0.12570588290691376
2,0.9645287990570068,0.09452713280916214,3e-05,0.9546495676040649,0.12678158283233643
3,0.9662303924560547,0.09275688230991364,3e-05,0.9546495676040649,0.1282401829957962
4,0.9660995006561279,0.09228788316249847,3e-05,0.9573980569839478,0.12920139729976654
5,0.9653141498565674,0.09432228654623032,3e-05,0.9537333846092224,0.134344220161438
6,0.9676701426506042,0.08874400705099106,3e-05,0.95648193359375,0.1319773942232132
7,0.9671465754508972,0.08575145155191422,8.999999e-06,0.9546495676040649,0.12886951863765717
8,0.9702879786491394,0.08269302546977997,8.999999e-06,0.9551076292991638,0.128364697098732
9,0.968324601650238,0.08629025518894196,8.999999e-06,0.9555657505989075,0.12792043387889862
