epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.8328571319580078,0.7169270515441895,1e-04,0.8643749952316284,0.7357420921325684
1,0.8982142806053162,0.5812264084815979,1e-04,0.8831250071525574,0.6590487957000732
2,0.9158928394317627,0.5312648415565491,1e-04,0.8868749737739563,0.6039922833442688
3,0.9330357313156128,0.48060306906700134,1e-04,0.8862500190734863,0.5967805981636047
4,0.9485714435577393,0.42625901103019714,1e-04,0.8493750095367432,0.7213594913482666
5,0.9624999761581421,0.3799697458744049,1e-04,0.8843749761581421,0.6603902578353882
6,0.9787499904632568,0.3239330053329468,1e-04,0.8737499713897705,0.7200151085853577
7,0.9816071391105652,0.30287355184555054,1e-04,0.8618749976158142,0.810781717300415
8,0.985535740852356,0.28164100646972656,1e-04,0.8706250190734863,0.8037983179092407
9,0.9923214316368103,0.25627055764198303,3e-05,0.8787500262260437,0.7835837006568909
