epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.9436784386634827,0.36801159381866455,1e-04,0.926410436630249,0.40520286560058594
1,0.9443795084953308,0.35371607542037964,1e-04,0.9288634657859802,0.3831399381160736
2,0.9495209455490112,0.33633244037628174,1e-04,0.9354047179222107,0.37150251865386963
3,0.9502220153808594,0.32400479912757874,1e-04,0.9337694048881531,0.3572317957878113
4,0.9467165470123291,0.31300124526023865,1e-04,0.9354047179222107,0.35204002261161804
5,0.9478850364685059,0.30361998081207275,1e-04,0.9288634657859802,0.35387176275253296
6,0.9502220153808594,0.2836262285709381,1e-04,0.9288634657859802,0.3549417555332184
7,0.9525589942932129,0.27519434690475464,1e-04,0.9304987788200378,0.33585378527641296
8,0.9511567950248718,0.263187050819397,1e-04,0.9321340918540955,0.3363611102104187
9,0.9546623229980469,0.25308528542518616,1e-04,0.929681122303009,0.3226054906845093
