epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.8053571581840515,0.7757402658462524,1e-04,0.8256250023841858,0.8839927911758423
1,0.8948214054107666,0.6001072525978088,1e-04,0.8706250190734863,0.7551195621490479
2,0.9201785922050476,0.5253860354423523,1e-04,0.8731250166893005,0.654461681842804
3,0.9464285969734192,0.4571181833744049,1e-04,0.862500011920929,0.6525100469589233
4,0.9662500023841858,0.4031085968017578,1e-04,0.8762500286102295,0.6401412487030029
5,0.9789285659790039,0.3558517396450043,1e-04,0.871874988079071,0.6620079278945923
6,0.9842857122421265,0.32373204827308655,1e-04,0.8631250262260437,0.7527444362640381
7,0.9951785802841187,0.29085996747016907,1e-04,0.8606250286102295,0.7526187300682068
8,0.9946428537368774,0.2763764560222626,1e-04,0.8725000023841858,0.7932878732681274
9,0.993571400642395,0.2672492265701294,1e-04,0.8762500286102295,0.8414349555969238
10,0.996071457862854,0.24974325299263,3e-05,0.878125011920929,0.8307855129241943
11,0.9969642758369446,0.2444285750389099,3e-05,0.8756250143051147,0.8224392533302307
12,0.9983928799629211,0.2372627854347229,3e-05,0.878125011920929,0.8196191191673279
13,0.9985714554786682,0.23315651714801788,3e-05,0.8799999952316284,0.7862967848777771
14,0.9975000023841858,0.2321396917104721,3e-05,0.8756250143051147,0.7899696230888367
