epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.9442173838615417,0.18634061515331268,3e-05,0.9298076629638672,0.23966975510120392
1,0.9468622207641602,0.18084745109081268,3e-05,0.920192301273346,0.24072548747062683
2,0.94349604845047,0.18722324073314667,3e-05,0.9278846383094788,0.23030529916286469
3,0.9463813304901123,0.1791561394929886,3e-05,0.9211538434028625,0.23853087425231934
4,0.943255603313446,0.1832808405160904,3e-05,0.9192307591438293,0.24146254360675812
5,0.9478240013122559,0.17503707110881805,3e-05,0.920192301273346,0.25117170810699463
6,0.9463813304901123,0.17579013109207153,3e-05,0.925000011920929,0.2362237423658371
7,0.9499880075454712,0.16900059580802917,3e-05,0.9278846383094788,0.24594023823738098
8,0.9523923993110657,0.16850070655345917,8.999999e-06,0.9269230961799622,0.24376486241817474
9,0.9502283930778503,0.16361992061138153,8.999999e-06,0.9269230961799622,0.2427905797958374
