epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.8190816640853882,0.8487107753753662,1e-04,0.8498556017875671,0.5641133785247803
1,0.8218311667442322,0.6424000859260559,1e-04,0.864292562007904,0.3754408061504364
2,0.8265053629875183,0.5342717170715332,1e-04,0.8652550578117371,0.4424917995929718
3,0.8435523509979248,0.4671303927898407,1e-04,0.8710298538208008,0.3512529134750366
4,0.8364036083221436,0.46809446811676025,1e-04,0.8440808653831482,0.3946148455142975
5,0.8518009185791016,0.41976675391197205,1e-04,0.8671799898147583,0.3696037232875824
6,0.8520758748054504,0.39431342482566833,1e-04,0.8623676896095276,0.3915218710899353
7,0.8534506559371948,0.3831004798412323,1e-04,0.8710298538208008,0.33545249700546265
8,0.8529007434844971,0.3914555609226227,1e-04,0.8710298538208008,0.3469024896621704
9,0.8666483163833618,0.35671019554138184,1e-04,0.864292562007904,0.3567478358745575
10,0.8559252023696899,0.36286720633506775,1e-04,0.8662174940109253,0.33854198455810547
11,0.8578498959541321,0.35897400975227356,1e-04,0.8700673580169678,0.3305142819881439
12,0.8575749397277832,0.3589622974395752,1e-04,0.8671799898147583,0.339783251285553
13,0.858124852180481,0.3494236469268799,3e-05,0.8835418820381165,0.3343423008918762
14,0.8699477314949036,0.33166083693504333,3e-05,0.8748797178268433,0.3307078778743744
15,0.8647236824035645,0.33933550119400024,3e-05,0.8710298538208008,0.3283226191997528
16,0.868573009967804,0.3351510167121887,3e-05,0.8777670860290527,0.3291015326976776
17,0.8715974688529968,0.332470566034317,3e-05,0.8777670860290527,0.32867783308029175
18,0.8627989888191223,0.33072221279144287,3e-05,0.879692018032074,0.33098104596138
19,0.8677481412887573,0.3345562219619751,3e-05,0.871992290019989,0.3282001316547394
