epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.8291411995887756,0.7270099520683289,1e-04,0.7937462329864502,0.7965714931488037
1,0.898186206817627,0.5693065524101257,1e-04,0.8478652834892273,0.6670502424240112
2,0.9471890926361084,0.4430578052997589,1e-04,0.8502705693244934,0.6734768748283386
3,0.9801583290100098,0.3402847945690155,1e-04,0.8244137167930603,0.8010001182556152
4,0.9916825294494629,0.28142818808555603,1e-04,0.8202044367790222,1.1639662981033325
5,0.995490550994873,0.2502152919769287,1e-04,0.8400481343269348,0.97978675365448
6,0.9961919784545898,0.22760732471942902,1e-04,0.812387228012085,1.3767503499984741
7,0.9971941113471985,0.2126767784357071,3e-05,0.841852068901062,0.8700366616249084
8,1.0,0.1963096559047699,3e-05,0.8454599976539612,0.8826543092727661
9,1.0,0.18932843208312988,3e-05,0.8460613489151001,0.8869044780731201
10,1.0,0.1829604059457779,3e-05,0.8454599976539612,0.8888983726501465
11,1.0,0.17652258276939392,3e-05,0.8442573547363281,0.889015257358551
12,1.0,0.17220191657543182,8.999999e-06,0.8460613489151001,0.8887869119644165
13,1.0,0.1701265126466751,8.999999e-06,0.8454599976539612,0.8880776762962341
14,1.0,0.16793183982372284,8.999999e-06,0.8454599976539612,0.8868972063064575
