epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.8550956845283508,0.6902115941047668,1e-04,0.8574864864349365,0.6709619760513306
1,0.8810502290725708,0.6163145899772644,1e-04,0.8677089810371399,0.6110751628875732
2,0.8872632384300232,0.5817747116088867,1e-04,0.8731208443641663,0.5849505066871643
3,0.8846578001976013,0.5521186590194702,1e-04,0.8713169097900391,0.5688490271568298
4,0.8916724920272827,0.5281174778938293,1e-04,0.8653036952018738,0.5455976724624634
5,0.8933761119842529,0.5049950480461121,1e-04,0.8677089810371399,0.5591526031494141
6,0.8949794769287109,0.48296239972114563,1e-04,0.8779314756393433,0.49714818596839905
7,0.8999899625778198,0.466472864151001,1e-04,0.8797354102134705,0.4807354211807251
8,0.898186206817627,0.448971152305603,1e-04,0.8677089810371399,0.530478835105896
9,0.9022948145866394,0.43192070722579956,1e-04,0.8785327672958374,0.46189171075820923
10,0.9006914496421814,0.4254092276096344,1e-04,0.8833433389663696,0.4481769800186157
11,0.8986872434616089,0.41349464654922485,1e-04,0.8755261301994324,0.4445071518421173
12,0.90379798412323,0.3998830020427704,1e-04,0.8899579048156738,0.42956557869911194
13,0.9034973382949829,0.3877873122692108,1e-04,0.8791341185569763,0.42710408568382263
14,0.9055015444755554,0.37743470072746277,1e-04,0.8833433389663696,0.4229651093482971
