epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.648298442363739,1.121710181236267,1e-04,0.6262024641036987,1.1374990940093994
1,0.7090314030647278,1.0219026803970337,1e-04,0.6958314180374146,1.0301798582077026
2,0.7348167300224304,0.9635894298553467,1e-04,0.6349061131477356,1.1409645080566406
3,0.7621727585792542,0.9093848466873169,1e-04,0.6958314180374146,1.0306329727172852
4,0.7658376693725586,0.8783126473426819,1e-04,0.7036188840866089,1.0292741060256958
5,0.7713350653648376,0.8545637130737305,1e-04,0.6568942070007324,1.091503381729126
6,0.786649227142334,0.8182135224342346,1e-04,0.7549244165420532,0.8709677457809448
7,0.7969895005226135,0.7918488383293152,1e-04,0.7453046441078186,0.866180956363678
8,0.7963351011276245,0.7753145694732666,1e-04,0.6953733563423157,0.9891321063041687
9,0.8085078597068787,0.7452297806739807,1e-04,0.7462207674980164,0.8472579121589661
10,0.815575897693634,0.7242506146430969,1e-04,0.7311039566993713,0.8725364804267883
11,0.8069371581077576,0.713995099067688,1e-04,0.7631699442863464,0.8103659152984619
12,0.8145288228988647,0.6932860016822815,1e-04,0.7453046441078186,0.8365880250930786
13,0.8246073126792908,0.6644492745399475,1e-04,0.7549244165420532,0.8342525362968445
14,0.8257853388786316,0.6543764472007751,1e-04,0.7333943843841553,0.8373664021492004
