epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.852321445941925,0.6967640519142151,1e-04,0.8462499976158142,0.7102131843566895
1,0.9037500023841858,0.5841118097305298,1e-04,0.8881250023841858,0.6436909437179565
2,0.9208928346633911,0.5308140516281128,1e-04,0.8762500286102295,0.6376963257789612
3,0.9342857003211975,0.48880288004875183,1e-04,0.8456249833106995,0.686215341091156
4,0.9446428418159485,0.4495880901813507,1e-04,0.8856250047683716,0.6061832308769226
5,0.960357129573822,0.4035853445529938,1e-04,0.8756250143051147,0.6283527612686157
6,0.9723214507102966,0.36544927954673767,1e-04,0.8881250023841858,0.6266236305236816
7,0.9864285588264465,0.3213883936405182,1e-04,0.8843749761581421,0.6664426922798157
8,0.9850000143051147,0.3110804557800293,1e-04,0.8868749737739563,0.6908180117607117
9,0.981071412563324,0.30610018968582153,1e-04,0.8612499833106995,0.8897967338562012
