epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.9385196566581726,0.2534181475639343,1e-04,0.9260817170143127,0.2872357666492462
1,0.9412673711776733,0.23918163776397705,1e-04,0.9272836446762085,0.30691078305244446
2,0.9455606937408447,0.2381134182214737,1e-04,0.9350961446762085,0.2893604636192322
3,0.9462476372718811,0.23170608282089233,1e-04,0.9224759340286255,0.3001787066459656
4,0.9505409598350525,0.2182457000017166,1e-04,0.9272836446762085,0.30682358145713806
5,0.9501975178718567,0.22111652791500092,1e-04,0.9224759340286255,0.3027767837047577
6,0.9589558839797974,0.19218282401561737,3e-05,0.9290865659713745,0.29260846972465515
