epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.8823298215866089,0.2850545644760132,1e-04,0.9015116691589355,0.22048600018024445
1,0.9119110107421875,0.22545179724693298,1e-04,0.9097571969032288,0.2068111002445221
2,0.9198952913284302,0.21043603122234344,1e-04,0.919835090637207,0.20113296806812286
3,0.9257853627204895,0.19628478586673737,1e-04,0.9212093353271484,0.1945289969444275
4,0.9251309037208557,0.18897411227226257,1e-04,0.922125518321991,0.18971456587314606
5,0.9286649227142334,0.18672144412994385,1e-04,0.9248740077018738,0.1836814135313034
6,0.9295811653137207,0.18636809289455414,1e-04,0.9216674566268921,0.19904564321041107
7,0.9285340309143066,0.1820899397134781,1e-04,0.9289968013763428,0.18121899664402008
8,0.9298429489135742,0.18084634840488434,1e-04,0.9308291077613831,0.17798791825771332
9,0.9308900237083435,0.1763029843568802,1e-04,0.933119535446167,0.16959801316261292
10,0.9336387515068054,0.1698174625635147,1e-04,0.9299129843711853,0.17272822558879852
11,0.9363874197006226,0.16990646719932556,1e-04,0.9303710460662842,0.17762577533721924
12,0.9323298335075378,0.1728253960609436,1e-04,0.9344938397407532,0.1698729544878006
13,0.9359947443008423,0.16916325688362122,1e-04,0.933119535446167,0.17322364449501038
14,0.935602068901062,0.16835272312164307,1e-04,0.9303710460662842,0.18750154972076416
15,0.9383507966995239,0.16078859567642212,3e-05,0.9312872290611267,0.17392604053020477
16,0.9382199048995972,0.15563705563545227,3e-05,0.9344938397407532,0.16847901046276093
17,0.9397905468940735,0.155596062541008,3e-05,0.937242329120636,0.16800998151302338
18,0.9410994648933411,0.15626905858516693,3e-05,0.9326614737510681,0.16865496337413788
19,0.9403141140937805,0.1548120379447937,3e-05,0.9344938397407532,0.17245632410049438
