epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.8650180101394653,0.44987988471984863,1e-04,0.8924278616905212,0.3875240683555603
1,0.8983342051506042,0.37970978021621704,1e-04,0.903245210647583,0.3654943108558655
2,0.9091533422470093,0.3430872857570648,1e-04,0.9254807829856873,0.3148807883262634
3,0.9137901663780212,0.3304706811904907,1e-04,0.9200721383094788,0.3164229691028595
4,0.9168813228607178,0.3206605911254883,1e-04,0.924879789352417,0.3118863105773926
5,0.9247810244560242,0.30261340737342834,1e-04,0.9140625,0.3205614686012268
6,0.9256396889686584,0.29786843061447144,1e-04,0.9356971383094788,0.28991034626960754
7,0.927357017993927,0.2880580425262451,1e-04,0.9332932829856873,0.2848418354988098
8,0.9340546131134033,0.2720499634742737,1e-04,0.9362980723381042,0.27373823523521423
9,0.9366306066513062,0.2676495611667633,1e-04,0.934495210647583,0.2866537868976593
10,0.9352567195892334,0.2623410224914551,1e-04,0.9320913553237915,0.2802102267742157
11,0.9424695372581482,0.24834109842777252,1e-04,0.9332932829856873,0.2735283374786377
12,0.9371458292007446,0.2525705099105835,1e-04,0.9356971383094788,0.2829016447067261
13,0.9417825937271118,0.24100054800510406,1e-04,0.9332932829856873,0.26638713479042053
14,0.9491670727729797,0.22118163108825684,1e-04,0.9362980723381042,0.2676829695701599
15,0.9417825937271118,0.2293848991394043,1e-04,0.9368990659713745,0.26272493600845337
16,0.9476215243339539,0.21893544495105743,1e-04,0.940504789352417,0.26217979192733765
17,0.9498540163040161,0.21450024843215942,1e-04,0.9350961446762085,0.2678077518939972
18,0.9483084082603455,0.209535613656044,1e-04,0.9308894276618958,0.2680101990699768
19,0.9570667743682861,0.1887400597333908,3e-05,0.9387019276618958,0.2605547606945038
