epoch,accuracy,loss,lr
0,0.5,1.395891785621643,1e-04
1,0.5,1.2816057205200195,1e-04
2,0.5,1.175647258758545,1e-04
3,0.5,1.0792906284332275,1e-04
4,0.5,0.9929843544960022,1e-04
5,0.5,0.9165104031562805,1e-04
6,0.5,0.850248396396637,1e-04
7,1.0,0.7927239537239075,1e-04
8,1.0,0.7434906363487244,1e-04
9,1.0,0.7018327116966248,1e-04
