epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.9434447288513184,0.37530267238616943,1e-04,0.9386754035949707,0.3899443447589874
1,0.9476513266563416,0.3649679124355316,1e-04,0.9329517483711243,0.4079757034778595
2,0.9434447288513184,0.3626236915588379,1e-04,0.9362223744392395,0.38157838582992554
3,0.9464828372001648,0.3518994152545929,1e-04,0.9321340918540955,0.3858132064342499
4,0.9434447288513184,0.3503832519054413,1e-04,0.929681122303009,0.3889828622341156
5,0.9450806379318237,0.3452398478984833,1e-04,0.9362223744392395,0.3606569170951843
6,0.9474176168441772,0.3371497690677643,1e-04,0.9321340918540955,0.3631395995616913
7,0.9455479979515076,0.3318212032318115,1e-04,0.9378577470779419,0.3559369444847107
8,0.9474176168441772,0.31968891620635986,1e-04,0.9378577470779419,0.34687697887420654
9,0.9448469281196594,0.3163605332374573,1e-04,0.9321340918540955,0.3697598874568939
